"fPCA_KMeans" "mFPCA_splines" "RankWalk_GNN"
"1" 1 0.871553412174603 1
"2" 0.986598879940902 0.271256934051813 0.986598879940902
"3" 1 0.94709415267623 0.960354441775282
"4" 1 0.282460827428144 0.635971412351129
"5" 0.704666120540234 0.320424364818753 0.986598879940902
"6" 1 0.639195559497116 0.934618777893492
"7" 1 0.24661347307186 1
"8" 0.512787099462958 0.591230708778776 0.88709446177492
"9" 0.384081222742803 0.407742110436934 0.629760772640542
"10" 1 0.240856011735341 0.986598879940902
"11" 1 0.267431903604687 0.973333124730886
"12" 1 0.2484279345166 1
"13" 1 0.497629705432871 0.986598879940902
"14" 1 0.410396900091273 0.691935633705307
"15" 1 0.278828429306129 0.828353226025771
"16" 0.933973706969231 0.576156919041662 0.92366995737226
"17" 1 0.319514175596702 0.889500586121961
"18" 1 0.908653829806767 1
"19" 1 0.423299584508027 0.947240331472934
"20" 1 0.636440608452965 0.847632959370961
"21" 1 0.434700938863517 0.959813205485525
"22" 0.986598879940902 0.947072344009017 1
"23" 0.986598879940902 0.921082292985312 0.986598879940902
"24" 1 0.769185923652441 0.97347395681731
"25" 1 0.299856994451596 1
"26" 1 0.986598879940902 0.986598879940902
"27" 0.986598879940902 0.441832297889181 0.731989538441875
"28" 1 0.673025916686843 0.821207110235819
"29" 1 0.274702969395375 0.986598879940902
"30" 1 0.269069284625006 0.960630467282476
"31" 1 0.335130704770134 0.986598879940902
"32" 1 0.935701696686146 0.960608828917197
"33" 1 0.492456060790855 0.797851760902402
"34" 1 0.279707795284183 0.986598879940902
"35" 0.986598879940902 0.362582728728375 0.986598879940902
"36" 1 0.747953816313586 0.883133090268432
"37" 1 0.338538760355411 0.689864087383174
"38" 1 0.588781912788232 0.870828565672981
"39" 1 0.474329566750855 0.773654421768707
"40" 1 0.37378434718997 0.84228985751623
"41" 0.986598879940902 0.376242146109558 0.590493694244801
"42" 1 0.80481223571164 0.934898452903925
"43" 1 0.935701696686146 0.986598879940902
"44" 1 0.402613408407731 0.704022245214692
"45" 1 0.512414442657454 0.718460620857046
"46" 0.986598879940902 0.39028561472169 0.669326337272547
"47" 1 0.923040848548201 0.973336788403479
"48" 1 0.275307785338697 0.960630467282476
"49" 1 0.571127917472511 0.825483774771231
"50" 1 0.344319819705281 0.658581952353934
