"TAPIO_PC1" "TAPIO_weighted" "RankWalk_GNN"
"1" 0.682929101870056 0.934384112137461 0.886594473209343
"2" 0.92150456609204 0.934636740439509 0.973066095899961
"3" 1 0.986598879940902 0.986598879940902
"4" 0.934627760400407 0.960343548234616 0.986598879940902
"5" 0.827693927098012 0.97347395681731 1
"6" 0.766102334228048 0.934636740439509 0.757437575427807
"7" 0.801770950277165 0.97347395681731 0.7649202335396
"8" 0.920584482112762 0.986598879940902 0.986598879940902
"9" 0.946845436694979 1 0.986598879940902
"10" 0.908357997171623 0.986598879940902 0.986598879940902
"11" 0.716958896390295 0.986598879940902 0.986598879940902
"12" 0.8727049502046 0.910474528358859 0.823736385460721
"13" 0.88489940617666 1 1
"14" 0.923732821605636 0.912167132558482 0.973466666666667
"15" 0.878994662522803 0.986598879940902 1
"16" 0.822236409945684 1 0.935807541467887
"17" 0.921114810767882 1 0.97347395681731
"18" 0.832217693818235 0.986598879940902 0.986598879940902
"19" 0.816881592156688 1 0.67059069757328
"20" 0.671223156030194 0.830025624277747 1
"21" 0.792655759294565 0.986598879940902 0.973333124730886
"22" 0.641092788787428 0.694346465661553 0.633978187830852
"23" 0.948073410454901 0.94803060927473 0.947240331472934
"24" 0.947211335585178 1 0.97347395681731
"25" 0.908729055925834 0.986598879940902 0.960630467282476
"26" 0.688191062327865 0.876151994847632 0.85183353487045
"27" 0.681168533606611 0.857397620579302 0.768326487489545
"28" 0.673490034222565 0.842806792868152 0.897256830749582
"29" 0.372320151971811 0.803150358187818 0.766726890122519
"30" 0.772104804771741 1 0.868561435845262
"31" 0.830945341160949 1 0.960608828917197
"32" 0.88405610114177 0.97347395681731 0.97347395681731
"33" 0.934636740439509 1 1
"34" 0.921958821814257 0.935807541467887 0.948073410454901
"35" 0.552267358618449 0.818113408294696 0.720500510026919
"36" 0.912022546306514 0.973466666666667 0.986598879940902
"37" 0.889136188602008 0.986598879940902 0.839175296483545
"38" 0.960078340434069 0.986598879940902 1
"39" 0.452920694710916 0.690862722772112 0.677866090986502
"40" 0.934636740439509 0.986598879940902 0.973199601143244
"41" 0.960608828917197 0.960630467282476 0.973466666666667
"42" 0.485083531821153 0.686396767099315 0.616026631539609
"43" 0.86349189514783 0.960343548234616 0.910019466827859
"44" 0.921352739935326 1 0.986598879940902
"45" 0.85089306843818 0.959813205485525 0.960078340434069
"46" 0.803557804471578 0.908137756992445 0.722574015103881
"47" 0.714246728017256 0.862830851768221 0.688742621428072
"48" 0.640342044479596 0.69204496833891 0.7207348903427
"49" 0.75006983027692 0.909344578048229 0.81405757456635
"50" 0.575466595353969 0.959807685114977 0.653190380812587
