"FPCA_C" "FPCA_LR" "GNN_C" "GNN_LR"
"1" 0.760259216790021 127.49769518165 0.736092289516662 250.792780456274
"2" 0.760259216790021 127.49769518165 0.789256054762153 256.343874683807
"3" 0.760259216790021 127.49769518165 0.808297717085375 270.985987800583
"4" 0.760259216790021 127.49769518165 0.775218040932624 249.700027222466
"5" 0.760259216790021 127.49769518165 0.795545362938254 278.719453754254
"6" 0.760259216790021 127.49769518165 0.776764307307412 226.412398580027
"7" 0.760259216790021 127.49769518165 0.788613224920949 252.948469735242
"8" 0.760259216790021 127.49769518165 0.767625699294625 231.85022862406
"9" 0.760259216790021 127.49769518165 0.77238611487543 203.289201999709
"10" 0.760259216790021 127.49769518165 0.774540463532437 228.712986980531
"11" 0.760259216790021 127.49769518165 0.789169185864693 264.112333108062
"12" 0.760259216790021 127.49769518165 0.808297717085375 275.276591302355
"13" 0.760259216790021 127.49769518165 0.804510233156121 252.904197540817
"14" 0.760259216790021 127.49769518165 0.79533687758435 238.931624965841
"15" 0.760259216790021 127.49769518165 0.765523471976094 208.756007898902
"16" 0.760259216790021 127.49769518165 0.808540949998263 256.068347030584
"17" 0.760259216790021 127.49769518165 0.807116300079919 236.528534932045
"18" 0.760259216790021 127.49769518165 0.792070607039855 236.605777193012
"19" 0.760259216790021 127.49769518165 0.781472601549741 273.087757542839
"20" 0.760259216790021 127.49769518165 0.759859619861705 246.342957534725
