"fPCA_KMeans" "RankWalk_GNN"
"1" 0.697174571084969 0.768041261523453
"2" 0.635358095334031 0.594714310313092
"3" 0.631695605935123 0.554928377442888
"4" 0.662434889373816 0.744199937443876
"5" 0.67021955577079 0.91132117831468
"6" 0.675962125222387 0.599390321780623
"7" 0.662196554257536 0.588788780263257
"8" 0.642230261310775 0.853260297060992
"9" 0.601255158904089 0.831774748839748
"10" 0.433487501183808 0.766764223676544
"11" 0.692818990995497 0.588169274749244
"12" 0.688083962709926 0.709633928073356
"13" 0.743463154783312 0.910542119995165
"14" 0.404520333483699 0.841042829584425
"15" 0.666871357725599 0.830145129225998
"16" 0.710529751889877 0.758112072446721
"17" 0.645110190652668 0.846918646949202
"18" 0.391126105070376 0.821107926700997
"19" 0.338774678369512 0.898293868392278
"20" 0.658614714331852 0.761954355668404
"21" 0.675554072771045 0.819765218734215
"22" 0.714651642346868 0.873031975576826
"23" 0.661263851978384 0.923135824308904
"24" 0.678082817123691 0.472002080985
"25" 0.686957983753538 0.82526137077469
"26" 0.660362869358768 0.766758759219118
"27" 0.653484288140973 0.610508257526842
"28" 0.655721616808089 0.639877341492974
"29" 0.6725703337292 0.886895128647891
"30" 0.41538803089798 0.542750743949826
"31" 0.680323590814196 0.818653531803843
"32" 0.391403266018211 0.844028016554379
"33" 0.699748481789264 0.584406404457419
"34" 0.677930152435193 0.922293339671652
"35" 0.707110648875499 0.884931002359829
"36" 0.68240699367983 0.572869057028831
"37" 0.712167948771562 0.788745210243759
"38" 0.683048043434945 0.79279630817834
"39" 0.674368339888024 0.542087797109357
"40" 0.649088371947128 0.833380447395131
"41" 0.374260222402483 0.760528844649054
"42" 0.652304920958638 0.783085906317662
"43" 0.699238382915381 0.84547431486207
"44" 0.652320595885591 0.582030833528797
"45" 0.678104315714469 0.59771324962113
"46" 0.671614675934851 0.674024573038558
"47" 0.705098515926686 0.552266270533952
"48" 0.706182947040746 0.599212810610189
"49" 0.667608669297808 0.672719586363658
"50" 0.730345232088519 0.543185523249254
