"TAPIO_PC1" "TAPIO_weighted" "kml3d" "fPCA_KMeans" "DTW" "TS2Vec" "RankWalk_GNN"
"1" 0.788522561196844 0.833099607816506 0.885566106716617 0.835982446726602 0.802045367781728 0.81676930050225 0.898650438060988
"2" 0.934916336156692 0.986598879940902 0.973466666666667 0.281883228933831 0.308039115175244 0.73373742095909 0.986598879940902
"3" 0.524601098253109 0.908279345483715 0.833776990059963 0.682402532971815 0.656457904122863 0.712395114006293 0.853172750733591
"4" 0.748627475255102 0.923083088958041 0.814021474600089 0.526410005184695 0.543575211403623 0.538259854831676 0.817663548286818
"5" 0.923732821605636 1 0.898539098986411 0.898539098986411 0.867695964414866 0.859955110025314 0.97347395681731
"6" 0.94803060927473 1 0.986598879940902 0.49984770635467 0.489118439894121 0.38837807970089 1
"7" 0.986598879940902 1 1 0.253356085550473 0.42496588462034 0.434519413457395 0.986598879940902
"8" 1 0.986598879940902 0.986598879940902 0.655468346075946 0.934898452903925 0.934095429801327 1
"9" 0.973466666666667 0.97347395681731 0.900610462827998 0.900610462827998 0.889318687288841 0.870669088810037 0.94803060927473
"10" 0.934618777893492 0.960608828917197 0.716410641173634 0.513019575063795 0.627303560570232 0.680893555958728 0.986598879940902
"11" 0.986598879940902 1 0.67395087951259 0.285885167464115 0.341580364388871 0.473986539354284 0.986598879940902
"12" 0.959813205485525 1 1 0.29220663077576 0.324440797189553 0.625226228879353 1
"13" 0.782019106778886 1 1 1 0.94803060927473 0.826586965442597 1
"14" 0.58661804447628 0.884866004722103 0.74123574201376 0.433334554299769 0.337495560670832 0.47688330102105 0.747024153472784
"15" 0.889197088331093 0.947635388965987 0.959813205485525 0.973066095899961 0.960343548234616 0.907723318639255 1
"16" 0.898816989254602 1 1 1 1 1 1
"17" 0.973333124730886 0.986598879940902 0.986598879940902 0.973466666666667 0.973199601143244 0.960338099219033 0.986598879940902
"18" 0.960630467282476 0.97347395681731 0.986598879940902 0.475875354535968 0.623154014297322 0.566113614708266 0.935213649305076
"19" 0.698763629757235 0.973333124730886 0.74687149239008 0.342716544883025 0.337726767465648 0.491401895234148 0.908653829806767
"20" 0.947489261454675 1 0.94803060927473 0.986598879940902 1 0.986598879940902 0.986598879940902
"21" 0.672310716581607 0.92150456609204 0.973199601143244 0.898539098986411 0.843988639477476 0.766859939891621 0.986598879940902
"22" 0.852073884792686 0.986598879940902 0.827409817420708 0.436670947541772 0.43464424406198 0.794528524295364 0.960608828917197
"23" 0.935213649305076 1 0.710931223578547 0.413272901620966 0.52273791607903 0.49742877723094 0.986598879940902
"24" 0.720305896939611 0.986598879940902 0.68818365564838 0.342624637291706 0.320139121577247 0.622899438308477 0.960630467282476
"25" 1 1 1 1 1 0.715102730171315 1
"26" 0.703451870068321 0.870073583207663 0.754681458840911 0.690443575198613 0.449883221443845 0.66062925837599 0.799867440830253
"27" 0.813329055721769 0.947211335585178 0.871967818881338 0.346908899866508 0.392692368489202 0.475793978089159 0.934131622571132
"28" 0.94803060927473 0.97347395681731 1 0.635944830685862 0.636503692351692 0.504908031028991 0.986598879940902
"29" 0.685716879669422 0.97347395681731 0.655572007112481 0.264877554510532 0.288432521633859 0.328168155794152 0.818821152003764
"30" 0.710911574467347 0.826326077256869 0.734618015546906 0.578237353747558 0.555898882678917 0.572309113680037 0.768468710261217
"31" 0.792330505178938 0.909344578048229 0.854566285888614 0.795147436633538 0.770745585745521 0.621599659011769 0.910277761721313
"32" 0.97347395681731 1 0.986598879940902 0.609927585830366 0.843945771721883 0.746105585534394 0.97347395681731
"33" 0.385651994704024 0.849209785667894 0.660759476531241 0.277407342425251 0.238333656494612 0.281055390813987 0.873865957927209
"34" 0.783350511954365 0.960608828917197 0.819042061398229 0.490216869167775 0.473458683588171 0.747592693760243 0.94762100056927
"35" 0.818853693689789 0.97347395681731 0.86747781274892 0.683875558580108 0.694462701002438 0.764681634225074 0.973466666666667
"36" 0.934167775610836 1 0.973466666666667 0.397601630022668 0.436516668463093 0.581964837548606 0.986598879940902
"37" 0.617511712817644 0.87304035597163 0.692923979270471 0.286267437471335 0.291998621228115 0.352030619492798 0.689266351288489
"38" 0.933572369194831 0.97347395681731 0.86747781274892 0.560658486616195 0.804668522774966 0.77742109641602 0.889136188602008
"39" 0.838606332988446 1 0.726228442943641 0.329493736704005 0.321224398597825 0.355957285654005 0.986598879940902
"40" 1 1 1 0.347234741608752 0.37834910586578 0.384942696935457 1
"41" 0.95980216322758 0.97347395681731 1 1 0.960630467282476 0.767362621869736 1
"42" 0.923009137782033 1 0.97347395681731 0.910474528358859 0.947240331472934 0.809967738287312 0.986598879940902
"43" 0.873394181124134 0.986598879940902 0.973466666666667 0.886970351016699 0.89714391418957 0.811580274113184 0.973466666666667
"44" 0.934898452903925 0.973066095899961 0.986598879940902 0.96006736952087 0.973333124730886 0.908936994248345 1
"45" 0.480181024445872 0.794009160525327 0.746276981578124 0.337761316333761 0.620343869727244 0.469868182824956 0.725752288230532
"46" 0.973333124730886 0.973333124730886 0.986598879940902 1 0.947656956745438 0.986598879940902 1
"47" 0.744015487463604 0.781771298345207 0.791246773253818 0.386765671475084 0.36314349253171 0.501731379772839 0.889136188602008
"48" 0.790560723215535 0.960630467282476 1 0.235422551258883 0.421638887098136 0.22076690989522 1
"49" 0.910302404839456 0.986598879940902 0.843825273473093 0.413943334625652 0.495307146656847 0.633341451780807 0.986598879940902
"50" 0.845299234239473 0.921958821814257 0.859876949359929 0.822361351434462 0.72143408749303 0.682638470693428 0.93469056890693
