"TAPIO_PC1" "TAPIO_weighted" "RankWalk_GNN"
"1" 0.973066095899961 1 0.97347395681731
"2" 0.973333124730886 1 1
"3" 0.900474036705227 0.986598879940902 0.934618777893492
"4" 0.973199601143244 1 0.973336788403479
"5" 0.679326599326599 0.795905935104545 0.81917144895806
"6" 0.986598879940902 1 1
"7" 0.88537449650223 0.973199601143244 0.986598879940902
"8" 0.8382933722333 1 0.973199601143244
"9" 0.889742189894201 1 0.986598879940902
"10" 0.920142022248523 0.934167775610836 0.960630467282476
"11" 0.710596325022192 0.907905118194514 0.825339976844251
"12" 0.946801614310854 0.986598879940902 0.889500586121961
"13" 0.812390681536353 0.814789494596151 0.790199525542917
"14" 0.781475111881496 0.896431488132364 0.861056666319942
"15" 0.791787935215571 0.960630467282476 0.809314612655133
"16" 0.947079615562234 0.986598879940902 0.948073410454901
"17" 0.718422587544015 0.947240331472934 0.946560256276901
"18" 0.947240331472934 1 0.986598879940902
"19" 0.878696669881555 0.986598879940902 0.986598879940902
"20" 0.986598879940902 0.97347395681731 0.97347395681731
"21" 0.933833863577177 1 0.960630467282476
"22" 0.899423917132224 0.960630467282476 0.986598879940902
"23" 0.759407465185554 0.824921717577833 0.738809807317601
"24" 0.973466666666667 0.973466666666667 0.923648979591837
"25" 0.465536980308571 0.863393041319911 0.784220443935471
"26" 0.799004807400565 0.934140664553199 0.973333124730886
"27" 0.773911546610169 1 0.878994662522803
"28" 0.960343548234616 1 0.960608828917197
"29" 0.92366995737226 0.948073410454901 0.97347395681731
"30" 0.885754121217092 1 0.986598879940902
"31" 0.97347395681731 1 1
"32" 0.759247159905667 0.959813205485525 0.727085714285714
"33" 0.973466666666667 0.986598879940902 0.973333124730886
"34" 0.744322513139509 0.986598879940902 0.776657256452356
"35" 0.6431915399005 0.960078340434069 0.874804717122933
"36" 0.960630467282476 1 1
"37" 0.898816989254602 1 0.96006736952087
"38" 0.886485709227771 0.923732821605636 0.946962485926103
"39" 0.89545138090948 1 0.809000197945583
"40" 0.834118042995273 0.986598879940902 1
"41" 0.7341213295011 0.829038031985778 0.807841230563633
"42" 0.947343073707181 0.986598879940902 0.986598879940902
"43" 0.92366995737226 1 0.986598879940902
"44" 0.934636740439509 0.986598879940902 1
"45" 0.960630467282476 1 1
"46" 0.935701696686146 1 1
"47" 0.922348590424266 1 1
"48" 0.517864602188866 0.71670245294603 0.555125168773103
"49" 0.824792907080226 0.986598879940902 0.96006736952087
"50" 0.804297067469322 1 0.986598879940902
