"fPCA_KMeans" "RankWalk_GNN"
"1" 0.986598879940902 1
"2" 0.986598879940902 0.884040124919511
"3" 1 0.934618777893492
"4" 1 0.986598879940902
"5" 1 0.986598879940902
"6" 0.789265886011251 0.724753467546938
"7" 0.986598879940902 0.652406824016811
"8" 1 1
"9" 0.960354441775282 0.798889284849606
"10" 0.986598879940902 0.960608828917197
"11" 0.986598879940902 0.973466666666667
"12" 1 0.960608828917197
"13" 0.986598879940902 0.619944280353247
"14" 1 0.599569831092446
"15" 1 0.973066095899961
"16" 1 0.723829087418765
"17" 1 0.946962485926103
"18" 1 1
"19" 0.986598879940902 0.828098451777375
"20" 0.694092225232104 0.986598879940902
"21" 1 1
"22" 0.709605425047927 0.986598879940902
"23" 1 0.986598879940902
"24" 0.986598879940902 0.934375099866935
"25" 1 0.923732821605636
"26" 0.97347395681731 0.713363779901869
"27" 1 0.705244435512234
"28" 1 0.778684392126954
"29" 1 1
"30" 1 1
"31" 1 0.959813205485525
"32" 1 0.86349189514783
"33" 1 1
"34" 1 0.986598879940902
"35" 0.704666120540234 0.986598879940902
"36" 1 0.986598879940902
"37" 1 0.973333124730886
"38" 1 0.909711645662441
"39" 1 1
"40" 1 0.946677239724593
"41" 0.986598879940902 0.701763721293643
"42" 1 0.959940261315938
"43" 0.986598879940902 0.959813205485525
"44" 1 0.797685148979432
"45" 1 0.947079615562234
"46" 1 0.986598879940902
"47" 0.986598879940902 0.690114606008867
"48" 0.973333124730886 0.688895957890501
"49" 1 0.947489261454675
"50" 0.665147367716542 0.724215703590984
