"fPCA_KMeans" "mFPCA_splines" "RankWalk_GNN"
"1" 0.684767087462959 0.692024597492903 0.973336788403479
"2" 0.654539813739913 0.665249954154608 0.947656956745438
"3" 0.634553329744426 0.590997803657326 0.973336788403479
"4" 0.678146654322966 0.689771329640974 1
"5" 0.687766577766805 0.682643578210053 0.910327034424354
"6" 0.689712028188287 0.68746698306609 0.935213649305076
"7" 0.697563666834953 0.651879724065089 1
"8" 0.684917249194349 0.663360838853807 0.907955659186198
"9" 0.655925268465555 0.42138107934243 1
"10" 0.670319178986247 0.681317394181659 0.820617725997275
"11" 0.685067391195466 0.68806609384125 0.86369779741245
"12" 0.660603633319983 0.674562842571635 0.820863161702102
"13" 0.394994776443521 0.686117833082153 1
"14" 0.672799864706976 0.679943660337587 0.960630467282476
"15" 0.662941929352616 0.659513567967763 0.986598879940902
"16" 0.690372636756175 0.665765391551578 0.878994662522803
"17" 0.729769872101578 0.738284692103529 0.986598879940902
"18" 0.699801570150119 0.691584698325763 0.935249208455011
"19" 0.684917249194349 0.648734804165298 0.875154464744016
"20" 0.674562842571635 0.691123824883981 0.986598879940902
"21" 0.69262471711141 0.685667761974962 0.973333124730886
"22" 0.666815807847706 0.672763613860586 0.898224098923945
"23" 0.675910415878309 0.672763613860586 1
"24" 0.690823409040932 0.696615959849994 0.935213649305076
"25" 0.704549226924684 0.734699719319263 1
"26" 0.653370913003574 0.672763613860586 0.948073410454901
"27" 0.682963606308266 0.436805411748464 0.973333124730886
"28" 0.663511270394562 0.656697926037448 1
"29" 0.718725039689161 0.726469252327736 0.986598879940902
"30" 0.651279481376739 0.669566670743663 0.935807541467887
"31" 0.686717652121122 0.687766577766805 0.82876911258954
"32" 0.662252081060837 0.657571288102262 0.948073410454901
"33" 0.678146654322966 0.692174657042913 0.986598879940902
"34" 0.71797483855133 0.717306361074385 0.900800832258694
"35" 0.651578488463014 0.672313365938969 0.858445421624418
"36" 0.681146565402834 0.671262100867904 1
"37" 0.67815899495695 0.657245008739283 0.717204969550599
"38" 0.698418387803383 0.691123824883981 0.934916336156692
"39" 0.683241835243886 0.691952661877688 0.739004231765117
"40" 0.718725039689161 0.727218170738639 0.947613803405344
"41" 0.711017882040515 0.699618419667763 0.97347395681731
"42" 0.728415400896003 0.719174920538623 1
"43" 0.68806609384125 0.673697104300573 0.772062066638879
"44" 0.683241835243886 0.66831474254774 0.973333124730886
"45" 0.690160507424385 0.682344332306935 0.960630467282476
"46" 0.677120803846023 0.690823409040932 1
"47" 0.66584053949696 0.658201683343726 0.911248218929613
"48" 0.70739819520416 0.714166503494941 0.986598879940902
"49" 0.694423180535043 0.673963412860758 0.948073410454901
"50" 0.683715402568765 0.661750610247038 0.750797527145467
