"TAPIO_PC1" "TAPIO_weighted" "RankWalk_GNN"
"1" 0.73299848784429 0.947635388965987 0.986598879940902
"2" 0.690909430715555 0.715895775474966 0.37605400935046
"3" 0.735377517927489 1 0.973199601143244
"4" 0.508131740210263 0.829038031985778 0.425145284681922
"5" 0.986598879940902 0.986598879940902 1
"6" 0.808044616255681 0.947635388965987 1
"7" 0.947343073707181 0.986598879940902 0.548777319796004
"8" 0.947240331472934 1 1
"9" 0.786077926292518 0.97347395681731 0.947240331472934
"10" 0.948073410454901 1 0.986598879940902
"11" 0.93469056890693 0.97347395681731 1
"12" 0.935701696686146 0.97347395681731 0.946560256276901
"13" 0.868202202571945 1 0.986598879940902
"14" 0.609513790936813 0.808044616255681 0.376364234390948
"15" 0.740378427922893 0.838606332988446 0.66299138831838
"16" 0.83381939867637 0.86444132537498 1
"17" 0.655589714592221 0.986598879940902 0.837424152391301
"18" 0.97347395681731 0.986598879940902 1
"19" 0.477012653867598 0.78564441930158 0.281099399952349
"20" 0.628364130690412 1 1
"21" 0.94803060927473 0.812706069748377 1
"22" 0.65533095262949 0.934167775610836 0.851792859006697
"23" 0.973066095899961 1 1
"24" 0.96006736952087 1 0.986598879940902
"25" 0.682657171553124 0.973466666666667 0.910277761721313
"26" 0.960608828917197 0.94803060927473 0.948016326530612
"27" 0.922987982749134 0.986598879940902 1
"28" 0.837009523809524 0.837054306163476 0.846986455314367
"29" 0.92366995737226 1 1
"30" 1 1 1
"31" 0.62439867113205 0.897228624858659 0.747302015150027
"32" 0.96006736952087 0.986598879940902 0.960630467282476
"33" 0.602466217629586 0.882815795175379 0.528151405414727
"34" 0.857451688770772 0.97347395681731 0.55712476023532
"35" 0.874383662588455 1 1
"36" 0.887465164080145 1 0.86791339903956
"37" 0.898816989254602 0.986598879940902 0.655110777155536
"38" 0.88232772021515 0.986598879940902 0.559906474839523
"39" 0.643181294257628 0.675721941915395 0.463594418224028
"40" 0.75671961984178 1 0.960608828917197
"41" 0.97347395681731 0.986598879940902 0.583783114682303
"42" 0.92239121956655 1 0.667898438431279
"43" 0.885057213813849 1 1
"44" 0.933815682889853 1 0.986598879940902
"45" 0.885722828382541 0.935807541467887 0.986598879940902
"46" 0.960072855731098 1 1
"47" 0.923648979591837 0.960630467282476 1
"48" 0.734499604202138 0.887001404279482 0.607844761670648
"49" 0.986598879940902 0.986598879940902 1
"50" 0.960630467282476 1 1
