"TAPIO_PC1" "TAPIO_weighted" "kml3d" "fPCA_KMeans" "RankWalk_GNN"
"1" 0.97347395681731 0.986598879940902 0.973466666666667 0.26806956796093 1
"2" 0.656841076972306 0.909036943659781 0.783545503709278 0.582104042409942 0.775180864149422
"3" 0.759045255271277 1 0.986598879940902 0.35499512937225 0.948073410454901
"4" 0.947635388965987 0.986598879940902 1 1 1
"5" 0.898934566697537 0.97347395681731 0.973466666666667 0.227967279316315 1
"6" 0.862604678181975 0.876151994847632 0.875811857159367 0.785320851618864 0.875743605300496
"7" 0.613777895547585 0.921450161320018 0.693025877195666 0.473729247277772 0.76987779739071
"8" 0.947656956745438 0.97347395681731 0.973199601143244 0.973199601143244 1
"9" 0.986598879940902 1 1 0.33894910645042 1
"10" 0.810510068217979 0.960630467282476 0.96006736952087 0.85073359152128 0.986598879940902
"11" 0.730250973023755 0.77883334170728 0.761277851823507 0.433319041185655 0.820715479017915
"12" 0.822828814451368 0.92070343790247 0.934618777893492 0.223590266985224 0.922316587822122
"13" 0.97347395681731 0.986598879940902 0.97347395681731 1 0.986598879940902
"14" 0.959813205485525 0.97347395681731 1 0.636595314027109 1
"15" 0.94803060927473 0.986598879940902 1 1 1
"16" 0.801799488970939 1 0.934375099866935 0.885154145404392 0.973066095899961
"17" 0.87396983995825 1 0.864863358373365 0.459824278043427 0.973336788403479
"18" 0.960078340434069 0.986598879940902 0.852753392945068 0.305558143668693 1
"19" 0.58752458536698 0.960343548234616 0.97347395681731 0.411192092751356 0.986598879940902
"20" 0.610210505433763 0.695415329288991 0.817863760491997 0.639008830887785 0.875811857159367
"21" 0.663351944918449 0.786746803966143 0.836117186869854 0.736626957665515 0.849209785667894
"22" 0.860728418930732 1 1 0.433039233582811 1
"23" 0.831546199343657 0.960072855731098 0.973199601143244 0.94694791363462 0.973199601143244
"24" 0.690143748858707 0.784646464646465 0.767992981727095 0.276438271575999 0.765383932600562
"25" 0.986598879940902 1 0.973199601143244 0.367780876091061 0.986598879940902
"26" 0.881815584121173 1 0.986598879940902 1 1
"27" 0.573992159352518 0.883340431934603 0.778800048133501 0.509470363899634 0.797796254094132
"28" 0.788631109659969 0.986598879940902 0.92217590523858 0.921363827728026 0.960608828917197
"29" 0.819298696034052 1 0.721283775740578 0.625289315529162 0.948016326530612
"30" 0.583752901219753 0.859916629429444 0.721987899383366 0.582838592555841 0.745330885595169
"31" 0.973199601143244 1 0.784349635344986 0.36780854886275 0.960630467282476
"32" 0.986598879940902 0.986598879940902 0.65469821852998 0.457737019960538 1
"33" 0.766420883011212 0.677407828356748 0.801818575449231 0.686065092273476 0.871981954838237
"34" 0.832742593822436 1 0.934627760400407 0.947613803405344 0.934086375393371
"35" 0.946845436694979 0.986598879940902 0.986598879940902 0.986598879940902 1
"36" 0.883546872759229 1 0.909453357573235 0.973333124730886 0.986598879940902
"37" 0.42874814231719 0.706906008442799 0.721050162813305 0.275068054590146 0.675438113438697
"38" 0.899561924597231 1 0.973333124730886 1 0.986598879940902
"39" 0.912167132558482 1 0.97347395681731 0.97347395681731 0.960630467282476
"40" 0.877424941911168 0.973199601143244 0.923040848548201 0.368103602165952 0.960354441775282
"41" 0.342907421306249 0.698371362013367 0.635161560098295 0.26390610093638 0.693933506338229
"42" 0.763058487437621 0.986598879940902 0.876970257151077 0.935737017041843 0.94803060927473
"43" 0.898539098986411 0.96006736952087 0.900474036705227 0.388601264901583 0.97347395681731
"44" 0.668499196260934 0.883817379442715 0.733788257550166 0.447010361682122 0.762427249756967
"45" 0.973336788403479 0.97347395681731 0.847154377684589 0.867695964414866 0.878463881175541
"46" 0.788118110844041 1 0.739611698553595 0.706589481530246 0.900474036705227
"47" 0.835228452716579 0.874177091530759 0.862642425561287 0.735353628753719 0.867550609860977
"48" 0.946435999706364 0.960630467282476 1 0.986598879940902 1
"49" 0.688769300150483 0.833682306418543 0.736491138958568 0.254166505732312 0.791987899394358
"50" 0.89971329602406 0.948073410454901 0.960343548234616 0.986598879940902 0.986598879940902
