"TAPIO_PC1" "TAPIO_weighted" "kml3d" "fPCA_KMeans" "DTW" "TS2Vec" "RankWalk_GNN"
"1" 1 1 1 1 1 0.986598879940902 1
"2" 0.973066095899961 1 0.986598879940902 1 1 0.960608828917197 1
"3" 0.973066095899961 1 0.973066095899961 1 1 0.97347395681731 1
"4" 0.912167132558482 0.948073410454901 0.97347395681731 0.986598879940902 0.986598879940902 0.934167775610836 0.986598879940902
"5" 0.960608828917197 1 1 1 0.986598879940902 0.986598879940902 1
"6" 0.960078340434069 0.97347395681731 0.960630467282476 0.986598879940902 0.986598879940902 0.973466666666667 0.986598879940902
"7" 1 1 1 1 1 0.973336788403479 1
"8" 0.947211335585178 0.960608828917197 0.973466666666667 1 0.986598879940902 0.986598879940902 1
"9" 0.910253105058768 1 0.986598879940902 1 1 0.973066095899961 1
"10" 1 1 0.986598879940902 1 0.960630467282476 0.97347395681731 1
"11" 0.973336788403479 1 0.986598879940902 1 1 0.986598879940902 1
"12" 0.97347395681731 0.986598879940902 1 1 0.986598879940902 0.973466666666667 1
"13" 0.97347395681731 0.986598879940902 0.986598879940902 0.986598879940902 1 0.986598879940902 0.986598879940902
"14" 0.793113174854331 1 0.973466666666667 1 1 0.897585098738263 1
"15" 0.960630467282476 0.97347395681731 0.986598879940902 1 1 0.97347395681731 1
"16" 0.934113531156584 0.986598879940902 0.973466666666667 1 0.986598879940902 0.94762100056927 1
"17" 1 1 0.986598879940902 1 0.986598879940902 0.97347395681731 1
"18" 1 1 1 1 1 0.947489261454675 1
"19" 0.935701696686146 0.948073410454901 0.986598879940902 0.986598879940902 0.986598879940902 0.91187748324775 1
"20" 0.973466666666667 1 1 1 1 1 1
"21" 0.935807541467887 0.986598879940902 0.986598879940902 1 1 0.97347395681731 1
"22" 0.875284476059294 1 0.986598879940902 0.986598879940902 0.986598879940902 0.960354441775282 1
"23" 0.960608828917197 1 1 1 1 1 1
"24" 0.910634348765116 1 1 1 1 0.934167775610836 0.986598879940902
"25" 0.960608828917197 1 1 1 1 0.97347395681731 1
"26" 0.986598879940902 1 0.986598879940902 1 0.986598879940902 0.960630467282476 0.986598879940902
"27" 0.986598879940902 0.986598879940902 0.973466666666667 0.986598879940902 0.986598879940902 0.97347395681731 0.986598879940902
"28" 0.875267405135127 0.986598879940902 0.973066095899961 1 0.986598879940902 0.986598879940902 0.986598879940902
"29" 0.986598879940902 1 1 1 1 0.960608828917197 1
"30" 0.960343548234616 1 0.986598879940902 1 0.986598879940902 0.935701696686146 1
"31" 0.986598879940902 1 1 0.986598879940902 0.986598879940902 0.960608828917197 0.986598879940902
"32" 0.973199601143244 1 1 1 1 0.973466666666667 1
"33" 1 1 1 0.986598879940902 1 0.986598879940902 1
"34" 1 1 1 1 1 0.986598879940902 1
"35" 0.986598879940902 0.986598879940902 1 1 1 0.986598879940902 1
"36" 0.933347555130411 1 0.986598879940902 1 1 0.960343548234616 0.986598879940902
"37" 0.923083088958041 0.97347395681731 1 1 1 0.973199601143244 1
"38" 1 1 0.97347395681731 1 1 0.94803060927473 1
"39" 1 1 1 1 0.986598879940902 0.973066095899961 0.986598879940902
"40" 0.97347395681731 1 0.986598879940902 1 1 0.909195140444949 1
"41" 1 1 0.986598879940902 1 1 0.973466666666667 1
"42" 0.948073410454901 1 1 1 1 0.973466666666667 1
"43" 0.948073410454901 0.986598879940902 0.94803060927473 0.94803060927473 0.986598879940902 0.886158161922208 0.986598879940902
"44" 0.94803060927473 1 0.986598879940902 1 1 0.986598879940902 1
"45" 0.934375099866935 1 0.986598879940902 0.986598879940902 0.973199601143244 0.960354441775282 1
"46" 0.947079615562234 0.97347395681731 0.986598879940902 0.986598879940902 0.973466666666667 0.973336788403479 0.986598879940902
"47" 0.986598879940902 1 1 1 1 0.986598879940902 1
"48" 0.986598879940902 1 0.986598879940902 1 1 0.94762100056927 1
"49" 0.960630467282476 1 1 1 1 1 1
"50" 0.947613803405344 1 0.973466666666667 0.986598879940902 1 0.947613803405344 0.986598879940902
