"TAPIO_PC1" "TAPIO_weighted" "kml3d" "fPCA_KMeans" "RankWalk_GNN"
"1" 0.435349404515348 0.96006736952087 0.894953176672063 0.519260877246301 0.973199601143244
"2" 0.854566285888614 0.86345439151856 0.92366995737226 0.805488884303355 0.900610462827998
"3" 0.934131622571132 1 0.960630467282476 0.97347395681731 1
"4" 0.513538612208015 0.737169486872533 0.92150456609204 0.737023347239128 0.734399512960405
"5" 0.666271693758335 0.828134717699555 0.705655745188812 0.338968333832552 0.840946302328888
"6" 0.885597485429295 0.843311852229833 0.921784960061257 0.960630467282476 1
"7" 0.885722828382541 0.986598879940902 0.959807685114977 0.351331822159658 0.960338099219033
"8" 0.923732821605636 0.960343548234616 0.747025151378115 0.471576510024198 0.64338589820695
"9" 0.947079615562234 0.97347395681731 1 1 1
"10" 0.895449166832618 0.934131622571132 0.921645285123138 0.796984734043674 0.856863774771088
"11" 0.646651307743254 0.779766257442115 0.883466877235509 0.75446338281864 0.870846261050019
"12" 0.767922493813765 0.986598879940902 0.824792907080226 0.53381252830025 0.826253826088065
"13" 0.690512395814625 0.973199601143244 0.973333124730886 0.973333124730886 0.960608828917197
"14" 0.598128191342818 1 0.807040876357179 0.67342522112561 0.921569213707924
"15" 0.657717901260011 0.884453574642196 0.933806588799001 0.795734442735567 0.850162463189555
"16" 0.946808923058716 0.960078340434069 0.973199601143244 0.934636740439509 0.934113531156584
"17" 0.36615703134376 0.496110469518295 0.598790322580645 0.298688910618427 0.518649276504124
"18" 0.986598879940902 1 1 1 1
"19" 0.767339793226294 0.866179327357523 0.947211335585178 0.960072855731098 0.986598879940902
"20" 0.82772788939854 0.97347395681731 0.900392001109899 0.791647356346485 0.85183353487045
"21" 0.674179331073111 0.885566106716617 0.872635067651027 0.734549530950595 0.847840524342229
"22" 0.457833029037308 0.692836842046818 0.794792507159555 0.298036640516176 0.846487457121632
"23" 0.896217941439049 0.933833863577177 0.959813205485525 0.94694791363462 0.907980908885354
"24" 0.749821760968286 0.774035741757459 0.817214068485074 0.538202836697474 0.895519870729405
"25" 1 1 1 1 1
"26" 0.528620225998687 0.743199478151648 0.714715200081493 0.452308400086599 0.665235078568577
"27" 0.934375099866935 0.986598879940902 0.986598879940902 0.421704143274023 1
"28" 0.729518358548519 0.986598879940902 0.767761785196449 0.775553076362984 0.838606332988446
"29" 0.960338099219033 0.986598879940902 0.722199886233355 0.471670994033743 0.96006736952087
"30" 0.948073410454901 1 1 0.580344022702268 1
"31" 0.857670759327691 0.96006736952087 0.837054306163476 0.827693927098012 0.986598879940902
"32" 0.703947182280745 0.921114810767882 0.973336788403479 0.780095589980001 0.973199601143244
"33" 0.97347395681731 0.97347395681731 0.739826150300078 0.356107475305882 0.710613640952635
"34" 0.886932662471973 1 0.743001055178024 0.477728627643581 1
"35" 0.921850391828338 1 0.754158584293285 0.569990903465137 1
"36" 1 1 0.97347395681731 1 1
"37" 0.93332925590293 0.986598879940902 0.726269746455276 0.606493244660522 0.973336788403479
"38" 0.959813205485525 0.986598879940902 0.676116419540734 0.656514808175168 0.986598879940902
"39" 0.613019772886439 0.947079615562234 0.815488661729326 0.447926659409621 0.95980216322758
"40" 0.711911855386578 0.775023039941444 0.660932388974946 0.163188867228254 0.668166393561499
"41" 0.612105933414767 0.874004429287646 0.715042985361742 0.417082903846324 0.698442831917267
"42" 0.986598879940902 1 0.973466666666667 0.4460502829581 1
"43" 0.960630467282476 0.973333124730886 0.986598879940902 0.934636740439509 0.986598879940902
"44" 0.782799106429424 0.896146820909803 0.973466666666667 0.459074174597923 1
"45" 0.716451604661507 0.94602650649747 0.935213649305076 0.579226853837355 0.76088397160942
"46" 0.90901197688188 0.986598879940902 0.986598879940902 1 0.986598879940902
"47" 0.819298696034052 0.960078340434069 0.740182785979713 0.720275209048326 0.755075556524131
"48" 0.60439847185086 0.960608828917197 0.649654790968644 0.518703578936841 1
"49" 0.947343073707181 0.973466666666667 0.973466666666667 0.934077318497164 0.973199601143244
"50" 0.432184459588167 0.756137091354706 0.766321231897312 0.440613493280955 0.871665306122449
