"fPCA_KMeans" "mFPCA_splines" "RankWalk_GNN"
"1" 0.959813205485525 0.872421067516753 0.896872493331966
"2" 1 0.873865957927209 0.947072344009017
"3" 0.986598879940902 0.973066095899961 0.959934757264648
"4" 1 0.873716723127452 0.859374609054583
"5" 1 0.895279301594932 0.933414218133248
"6" 1 0.812184679527382 0.848651510589521
"7" 1 0.883340431934603 0.948016326530612
"8" 0.986598879940902 0.869822521382414 0.92082244272099
"9" 1 0.871374072002354 0.934618777893492
"10" 1 0.814149055409007 0.833975768116967
"11" 1 0.895791208858382 0.934113531156584
"12" 1 0.821548821548822 0.909490661896827
"13" 0.986598879940902 0.923009137782033 0.90974884868298
"14" 0.986598879940902 0.814394191745807 0.883212229812207
"15" 1 0.908408337973321 0.895406087004413
"16" 1 0.909527935495051 0.934898452903925
"17" 0.986598879940902 0.852022686057482 0.897542887418444
"18" 0.960343548234616 0.910136261870887 0.896759177728807
"19" 1 0.908911972566199 0.934348048195328
"20" 0.986598879940902 0.863566840635802 0.876970257151077
"21" 1 0.796873183022159 0.908087267473459
"22" 1 0.817197443134492 0.89673080990789
"23" 1 0.887380351772074 0.934357067896889
"24" 1 0.935807541467887 0.872992637293696
"25" 1 0.86181147695407 0.862328055187996
"26" 1 0.803990997280287 0.83793312078096
"27" 1 0.896033001815997 0.909453357573235
"28" 0.986598879940902 0.859548909362749 0.921926665202518
"29" 0.986598879940902 0.764371119134554 0.750418848947562
"30" 1 0.884660569932942 0.778963583541653
"31" 1 0.886970351016699 0.848089641094384
"32" 1 0.885632417263652 0.859143255590679
"33" 0.97347395681731 0.824423761091437 0.908266748617087
"34" 1 0.818954222282047 0.946940624485615
"35" 0.986598879940902 0.873865957927209 0.896459908899609
"36" 1 0.921147301763799 0.907879826879141
"37" 0.986598879940902 0.84802703833037 0.871429892736962
"38" 0.986598879940902 0.946684564050466 0.934618777893492
"39" 1 0.883466877235509 0.842613931948548
"40" 1 0.908641280062681 0.864919002770234
"41" 0.986598879940902 0.847610588654547 0.883244306751811
"42" 0.986598879940902 0.814475459470764 0.780544085581671
"43" 1 0.908936994248345 0.908962002187462
"44" 1 0.933806588799001 0.871321072110216
"45" 0.97347395681731 0.833007976397636 0.846757963805118
"46" 0.986598879940902 0.934375099866935 0.908628726869786
"47" 0.973336788403479 0.850315651718367 0.83832786392632
"48" 1 0.858930764561993 0.824616114707976
"49" 1 0.863273298693894 0.839577411005982
"50" 1 0.87269164849763 0.922305914425365
